job_title,employer_name,job_publisher,job_employment_type,job_description
Cloud DevOps Engineer,Aplin,Jooble,Full-time,"If you are a talented and experienced Cloud DevOps Engineer, Aplin has the right opportunity for you! Our Edmonton-based client is a forward-thinking company that prides themselves on delivering cutting-edge solutions to their clients, powered by the latest in cloud technology. As they continue to scale, they are seeking a skilled DevOps and Infrastructure Engineer with deep expertise in Azure, Google Cloud Platform (GCP), Kubernetes, Helm, and Terraform to join the team.

The current cloud provider is Azure and they are moving over to GCP. Currently, they utilize Azure portal, Office 365, MS SQL and some legacy setup such as virtual machines for product servers. They are looking for a highly skilled and experienced DevOps and Infrastructure Engineer to manage and optimize the multi-cloud infrastructure, with a strong emphasis on Kubernetes orchestration using Helm and infrastructure as code (IaC) with Terraform. The ideal candidate will have substantial experience with both Microsoft Azure and Google Cloud Platform (GCP), and be proficient in automating, monitoring, and securing cloud environments.
Please note: This role is full-time in the office

Responsibilities:
• Multi-Cloud Infrastructure Management: Design, implement, and manage scalable, reliable, and secure cloud infrastructure across Microsoft Azure and Google Cloud Platform (GCP).
• Kubernetes Orchestration: Deploy, manage, and scale containerized applications using Kubernetes on both Azure Kubernetes Service (AKS) and Google Kubernetes Engine (GKE). Utilize Helm for package management and deployment.
• CI/CD Pipelines: Develop and maintain CI/CD pipelines using tools such as GitLab, Google Cloud Build, and Jenkins, ensuring efficient and reliable deployment processes.
• Infrastructure as Code (IaC): Utilize Terraform to automate the provisioning and management of cloud infrastructure across Azure and GCP, ensuring consistency and version control of infrastructure changes.
• Monitoring & Performance: Implement and maintain robust monitoring, logging, and alerting systems using tools like Azure Monitor, Google Cloud Operations Suite, Prometheus, and Grafana to ensure optimal infrastructure performance.
• Security: Apply best practices for cloud security, including network security, identity and access management, and encryption. Regularly assess and enhance the security posture of our cloud environments.
• Collaboration: Work closely with development teams to provide infrastructure and tooling support, enabling agile development practices and improving overall efficiency.
• Incident Management: Participate in on-call rotation for infrastructure-related incidents, conducting root cause analysis and implementing preventative measures to minimize future disruptions.
• Cost Optimization: Continuously monitor and optimize cloud infrastructure costs on Azure and GCP, making data-driven recommendations for more efficient resource utilization.
Qualifications:
• Experience: Minimum of 5 years of experience in DevOps, Infrastructure Engineering, or a related field, with strong expertise in Azure, Google Cloud Platform, Kubernetes, Helm, and Terraform.
• Kubernetes Expertise: Proven experience in deploying and managing Kubernetes clusters on Azure AKS and GCP GKE. Proficiency with Helm for package management.
• Cloud Expertise: Proficient in core Azure and GCP services, including Azure VMs, Azure Kubernetes Service, Compute Engine, Google Kubernetes Engine, and associated networking and storage solutions.
• Infrastructure as Code (IaC): Extensive experience with Terraform for automating cloud infrastructure deployments and management.
• Automation & CI/CD: Hands-on experience with building and maintaining CI/CD pipelines using GitLab DevOps, Google Cloud Build, Jenkins, or similar tools.
• Scripting & Automation: Proficiency in scripting languages such as Python, Bash, or PowerShell for automation tasks.
• Monitoring & Logging: Experience with monitoring and logging tools like Prometheus, Grafana, Azure Monitor, and Google Cloud Operations Suite.
• Security Best Practices: Strong knowledge of cloud security best practices, including IAM, encryption, and compliance requirements for cloud environments.
• Problem-Solving: Strong analytical and troubleshooting skills with a proactive approach to problem-solving.
• Communication: Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
• Certifications: Azure, GCP, Kubernetes, or Terraform certifications (e.g., Azure Solutions Architect, Google Professional Cloud Architect, Certified Kubernetes Administrator) are a plus.

David Aplin & Associates Inc., operating as Aplin, and its associated brands, CompuStaff and Impact Recruitment, is an award-winning employment agency connecting diverse, top-tier talent with exceptional organizations across North America. We welcome applicants from all backgrounds and charge no fees to apply or engage with our recruiters. Our clients partner with us to help expand and diversify their teams. Please note that all applicants must be legally entitled to work in Canada, including holding any necessary work permits.
#J-18808-Ljbffr"
Cloud Infrastructure Engineer,Vantix Systems Inc.,BeBee Canada Meet Opportunities,Full-time,"Job Description

Vantix Systems Inc. is seeking a highly skilled Senior System Administrator / Network Engineer to provide Azure Active Directory, Microsoft 365, and AWS/Azure infrastructure administration and troubleshooting.

The ideal candidate will have experience with supported Windows server operating systems, Active Directory, Azure Active Directory, Exchange 2016 and Blackberry UEM, VMware ESXi server 6.x/7.x, XenApp 7.x, enterprise backup solutions, Storage Area Networks, and enterprise-grade server hardware.

This role requires strong scripting skills in PowerShell, as well as expertise in MFA, SSO, and identity management standards like SAML and OAuth. Familiarity with profile management solutions such as FSLogix and working knowledge of SolarWinds for monitoring, reporting, and alerting are also essential.

We are looking for a self-motivated individual with exceptional written and oral communication skills, strong interpersonal, customer service, teamwork, problem-solving, and troubleshooting abilities. The ability to rapidly acquire in-depth knowledge of unfamiliar systems through research and self-learning is crucial.

The successful candidate will be able to work independently to effectively prioritize and execute tasks in a mission-critical high-pressure environment. Physical requirements of the job include lifting up to 35 kilograms."
Senior DevOps / Cloud Engineer,Riva,Jooble,Full-time,"Riva is looking for an experienced Senior AWS Cloud DevOps Engineer to join our team. If you have experience supporting enterprise SaaS deployments in AWS, you thrive in a collaborative team environment, enjoy solving problems, and are a self-starter who needs little guidance then this position could be a great fit for you.

Reporting to the Director of Product Engineering, you will work closely with other DevOps team members, the Chief Architect, and the CTO to ensure that AWS services are provisioned, maintained, and restored to support cloud app development and delivery, and support the Cloud Operations team to support deployment to AWS instances.

Implement and maintain CI/CD pipelines to automate deployment processes.
• Monitor and optimize cloud resources to ensure high availability, performance, and security within acceptable operational cost restraints.
• Help in response to performance and security issues identified by alerting and reporting incidents.
• Prepare architectural, technical, and procedural documentation for consumption by technical staff.
• Mentor and guide other DevOps staff, fostering a culture of continuous learning and improvement.
• Participate in design and development of learning paths for use of AWS services by developers, testers, and DevOps staff.

Bachelor’s degree in Cloud Services, IT Management, Computer Science, Software Engineering, or equivalent education & experience.
• 5+ years of proven work experience as an AWS Cloud Engineer or a DevOps engineer with extensive AWS cloud expertise with a focus on enterprise SaaS projects.
• Strong skills resolving AWS cloud networking and security issues.
• Experience with deployment and configuration as code (CaC) tools like Octopus Deploy or Ansible.
• Proficiency in scripting languages such as Bash, PowerShell, or Python. Strong scripting and automation skills using scripting languages. Be familiar with JSON and YAML configuration files.
• Experience with monitoring tools to establish alerts and notifications using Splunk and CloudWatch.
• You must be able to communicate fluently in written and spoken English.
• Knowledge of Web Application Architecture patterns, including Micro-App and Micro-Service architectures.
• IT Certifications: AWS Solutions Architect or AWS SysOps Administrator, AWS DevOps Engineer, AWS Cloud Security.
• Project Management Certifications: PMP, CAMP, Project+.

Analytical Thinking & Decision Making: Ability to approach problems by relying on logic, data, and facts. Managing Resources & Digital Dexterity: We are an Edmonton-based software development company with a global footprint. Our Relationship Engine creates seamless data flow between applications like email, calendar, contacts, and tasks and CRM – synchronizing data and eliminating the need for task switching, application toggling, and data entry duplication across platforms.

We offer a work culture that fosters diversity, equity, inclusion, and fun. Paid wellness time allowing for flexible discretionary allocation for mental health, personal benefits, and personal time.

Extended health care benefits, dental and life insurance.

Professional development and training allowance for career advancement.

Must hold a valid work permit or be a permanent resident or citizen of Canada.

Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status.

#"
Senior Cloud Engineer (f/m/d) - Remote,Alberta Investment Management Co,Jooble,Full-time,"Our flexible work style lets you work remotely while allowing regular visits to our vibrant offices, where you can soak up our culture and collaborate with colleagues.
We are seeking a dedicated and skilled Cloud Engineer to manage our Azure infrastructure and support our data platform built on Databricks. In this pivotal role, you'll leverage your expertise in Terraform for infrastructure provisioning, maintain CI/CD pipelines in Azure DevOps, manage cloud costs, and ensure optimal performance and security across our cloud platforms.
Utilize Terraform to provision and manage Azure infrastructure, integrating SaaS applications with our data platform built on Databricks and Snowflake.
Networking and Security Design:
~ Design, implement, and maintain Azure networking components, while implementing security measures to ensure compliance with organizational policies.

CI/CD Pipeline Management:
~ Establish and manage pipelines for continuous integration and deployment of Azure infrastructure changes with Azure DevOps, collaborating closely with cross-functional teams.

Monitoring and Optimization:
Ensure compliance with organizational security policies and standards, implementing necessary controls and measures.
Develop and support backup and disaster recovery solutions, ensuring data integrity, availability, and business continuity.

A Bachelor’s degree in Computer Science, Information Technology, or a related field. Microsoft Certified Azure Solutions Architect) are preferred.
• Proven experience with Terraform for Infrastructure as Code (IaC), Azure networking, security implementations, and Azure DevOps CI/CD pipeline management.
• Final candidates will be asked to undergo a security screening, which includes a credit bureau and a criminal record investigation, the results of which must be acceptable to AIMCo.

Alberta Investment Management Corporation (AIMCo) is one of Canada’s largest and most diversified institutional investment managers with more than CAN$160 billion of assets under management. AIMCo invests globally on behalf of multiple pension, endowment, insurance and government funds in the Province of Alberta."
DevOps Engineer,RECRUITMENT PARTNERS,Trabajo.org,Full-time,"As a Cloud Infrastructure Specialist at Recruitment Partners, you will be responsible for designing and implementing scalable cloud-based infrastructure solutions. Your expertise in cloud architecture, engineering, and automation will ensure seamless flow of code through development, testing, deployment, and production environments.
Key Responsibilities
• Design and implement CI/CD pipelines for automated software testing, deployment, and monitoring across various environments.
• Manage cloud-based infrastructure including provisioning, scaling, security, and cost optimization.
• Develop and maintain scripts and tools to automate manual tasks in infrastructure management, deployment, and system administration.
• Collaborate with development, QA, and operations teams to ensure smooth deployment and high availability of services.
Requirements
• Strong technical background in cloud architecture and engineering, CI/CD automation, data engineering, and big data technologies.
• Proficient in working with Databricks, Azure DevOps, and Terraform.
• Excellent communication and collaboration skills to work effectively in cross-functional teams."
Cloud Infrastructure Strategist,myGwork,Trabajo.org,Full-time,"About the Role:
"">

We are seeking a skilled DevOps leader to join our team and lead DevOps engineering for the SmartHome+ platform at TELUS. As a key member of our team, you will be responsible for developing and scaling our cloud infrastructure to meet the needs of millions of consumers globally.
"">

Responsibilities:
"">
• "">
• Lead and mentor a diverse team of DevOps software engineers in a DevOps and Agile mindset"">
• Build, deploy, operate, and optimize our AWS serverless Cloud infrastructure for high availability, quality, and continuous operations"">
• Collaborate with internal stakeholders to understand requirements and priorities for infrastructure, CI/CD, security, observability, change management, releases, reliability, scalability, and incidents"">
• Select and collaborate with external vendor partners to meet solution requirements"">
• Develop strategy and lead execution of our cloud infrastructure with leadership, product management, principal architects, backend, and client device development teams and strategic partners like AWS"">
"">

Qualifications:
"">
• "">
• AWS specifically serverless or EKS (Kubernetes), ideally both"">
• CDK"">
• TypeScript"">
• General DevOps toolsets in AWS"">
• Understanding of IaC and best practices"">
• Lambda, API Gateway"">
• Terraform or cloudformation"">
• IP networking and security principles"">
• Microservice architectures and API management"">
• CI/CD Pipelines experience"">
• Agile Development (SAFE)"">
• 3+ years of relevant technical team leadership experience"">
• Strong communicator"">
• Confident with presenting material to peers and senior management"">
• Experience with leading a team and collaborating with internal/external teams across multiple time zones and countries"">
• Experience with on-call operations and incident resolution"">
• Experience working with vendors to define MSAs and onboarding new technologies"">
• Experience deploying automation, improving reliability, and optimizing cloud costs"">
• Bachelors in Software or Electrical Engineering Degree, Computer Science"">
"">

About myGwork:
"">

TELUS is an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ+ business community. We strive to foster a culture of diversity and inclusivity where everyone feels welcome and valued.
"">

Why Work Here?
"">

As a DevOps Manager for our SmartHome+ platform, you will have the opportunity to shape the product vision, create first-of-its-kind products, and lead a high-performance team that will realize this product vision and deliver significant business results.
"">

What You'll Get:
"">
• "">
• An exciting opportunity to work on cutting-edge technology"">
• The chance to develop and scale a global platform"">
• A collaborative and inclusive work environment"">
• Competitive compensation and benefits package"">
• Ongoing training and professional development opportunities"">
"">

Ready to Apply?
"">

Please submit your application through our website. We look forward to hearing from you
"">

About Us:
"">

At myGwork, we are committed to creating a workplace where everyone feels welcome and valued. We believe that diversity and inclusion are essential to driving innovation and success. Our mission is to empower the LGBTQ+ community and their allies to reach their full potential."
Senior Cloud Security Architect,David Aplin Recruiting,Jooble,Full-time,"If you’re a talented and experienced Cloud Security Architect, Aplin has the right opportunity for you. Our client, a leader in their field, is looking for a Cloud Security Architect. Reporting to the Senior Manager, IT Security, Risk and Compliance.

The Cloud Security Architect leads security architecture activities that guide the development and management of a portfolio of cloud-enabled solutions. They take ownership of providing architectural and security leadership, execution, and governance of services running on cloud platforms. The architect collaborates across divisions to provide guidance, recommendations, and implementation advice aligned with the overarching cloud strategy. The role delivers security assessments, strategies, and roadmaps for cloud solutions, designing reusable components, standards, and frameworks to support the organization’s cloud security initiatives. The Cloud Security Architect works closely with enterprise, domain, and solution architects, external consultants, and product delivery teams to ensure solutions align with security principles and standards.

Cloud Security Architecture:

Translate business strategies into cloud security architecture.

Lead security design and analysis for cloud solutions.

Security Delivery:

Define principles, guidelines, and solution patterns for cloud security.

Develop roadmaps for the evolution of the enterprise’s cloud security portfolio.

Create and maintain security technology standards and documentation.

Provide mentorship to support teams on cloud security practices.

Minimum of a Degree in Computer Science or a related field.
• 4+ years of experience in cloud security architecture and project leadership.
• Advanced understanding of security frameworks (ISO 27000 series, NIST CSF, CSA).
• Knowledge of identity and access management, policies, and auditing.
• Proficiency in IT service management (ITSM) and ITIL standards.
• CCSP, CISSP, Azure Security Engineer, AWS Security Specialty).

operating as Aplin, and its associated brands, CompuStaff and Impact Recruitment, is an award-winning employment agency connecting diverse, top-tier talent with exceptional organizations across North America. Our clients partner with us to help expand and diversify their teams. Please note that all applicants must be legally entitled to work in Canada, including holding any necessary work permits.

#"
Cloud Infrastructure Architect,Alberta Investment Management Co,Ca.bebee.com,Full-time,"Job Description

We are seeking a seasoned Cloud Engineer with expertise in implementing and maintaining robust Azure infrastructure. The successful candidate will leverage their knowledge of Terraform for infrastructure provisioning, manage CI/CD pipelines in Azure DevOps, and ensure optimal performance and security across our cloud platforms.
Responsibilities:
• Provision and manage Azure infrastructure using Terraform, integrating SaaS applications with our data platform built on Databricks and Snowflake.
• Support and manage infrastructure for Azure Integration Services and containerization technologies, such as Azure Container Apps and Azure Kubernetes Service (AKS).
• Design, implement, and maintain Azure networking components, while implementing security measures to ensure compliance with organizational policies.
• Establish and manage pipelines for continuous integration and deployment of Azure infrastructure changes with Azure DevOps, collaborating closely with cross-functional teams.
• Monitor and optimize the Azure environment and apply FinOps best practices to maximize business value of the cloud."
Cloud DevOps Engineer,Aplin,Trabajo.org,Full-time,"If you are a talented and experienced Cloud DevOps Engineer, Aplin has the right opportunity for you Our Edmonton-based client is a forward-thinking company that prides themselves on delivering cutting-edge solutions to their clients, powered by the latest in cloud technology. As they continue to scale, they are seeking a skilled DevOps and Infrastructure Engineer with deep expertise in Azure, Google Cloud Platform (GCP), Kubernetes, Helm, and Terraform to join the team.

The current cloud provider is Azure and they are moving over to GCP. Currently, they utilize Azure portal, Office 365, MS SQL and some legacy setup such as virtual machines for product servers. They are looking for a highly skilled and experienced DevOps and Infrastructure Engineer to manage and optimize the multi-cloud infrastructure, with a strong emphasis on Kubernetes orchestration using Helm and infrastructure as code (IaC) with Terraform. The ideal candidate will have substantial experience with both Microsoft Azure and Google Cloud Platform (GCP), and be proficient in automating, monitoring, and securing cloud environments.

Please note: This role is full-time in the office

Responsibilities:

1. Multi-Cloud Infrastructure Management: Design, implement, and manage scalable, reliable, and secure cloud infrastructure across Microsoft Azure and Google Cloud Platform (GCP).
2. Kubernetes Orchestration: Deploy, manage, and scale containerized applications using Kubernetes on both Azure Kubernetes Service (AKS) and Google Kubernetes Engine (GKE). Utilize Helm for package management and deployment.
3. CI/CD Pipelines: Develop and maintain CI/CD pipelines using tools such as GitLab, Google Cloud Build, and Jenkins, ensuring efficient and reliable deployment processes.
4. Infrastructure as Code (IaC): Utilize Terraform to automate the provisioning and management of cloud infrastructure across Azure and GCP, ensuring consistency and version control of infrastructure changes.
5. Monitoring & Performance: Implement and maintain robust monitoring, logging, and alerting systems using tools like Azure Monitor, Google Cloud Operations Suite, Prometheus, and Grafana to ensure optimal infrastructure performance.
6. Security: Apply best practices for cloud security, including network security, identity and access management, and encryption. Regularly assess and enhance the security posture of our cloud environments.
7. Collaboration: Work closely with development teams to provide infrastructure and tooling support, enabling agile development practices and improving overall efficiency.
8. Incident Management: Participate in on-call rotation for infrastructure-related incidents, conducting root cause analysis and implementing preventative measures to minimize future disruptions.
9. Cost Optimization: Continuously monitor and optimize cloud infrastructure costs on Azure and GCP, making data-driven recommendations for more efficient resource utilization.

Qualifications:

1. Experience: Minimum of 5 years of experience in DevOps, Infrastructure Engineering, or a related field, with strong expertise in Azure, Google Cloud Platform, Kubernetes, Helm, and Terraform.
2. Kubernetes Expertise: Proven experience in deploying and managing Kubernetes clusters on Azure AKS and GCP GKE. Proficiency with Helm for package management.
3. Cloud Expertise: Proficient in core Azure and GCP services, including Azure VMs, Azure Kubernetes Service, Compute Engine, Google Kubernetes Engine, and associated networking and storage solutions.
4. Infrastructure as Code (IaC): Extensive experience with Terraform for automating cloud infrastructure deployments and management.
5. Automation & CI/CD: Hands-on experience with building and maintaining CI/CD pipelines using GitLab DevOps, Google Cloud Build, Jenkins, or similar tools.
6. Scripting & Automation: Proficiency in scripting languages such as Python, Bash, or PowerShell for automation tasks.
7. Monitoring & Logging: Experience with monitoring and logging tools like Prometheus, Grafana, Azure Monitor, and Google Cloud Operations Suite.
8. Security Best Practices: Strong knowledge of cloud security best practices, including IAM, encryption, and compliance requirements for cloud environments.
9. Problem-Solving: Strong analytical and troubleshooting skills with a proactive approach to problem-solving.
10. Communication: Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
11. Certifications: Azure, GCP, Kubernetes, or Terraform certifications (e.g., Azure Solutions Architect, Google Professional Cloud Architect, Certified Kubernetes Administrator) are a plus.

David Aplin & Associates Inc., operating as Aplin, and its associated brands, CompuStaff and Impact Recruitment, is an award-winning employment agency connecting diverse, top-tier talent with exceptional organizations across North America. We welcome applicants from all backgrounds and charge no fees to apply or engage with our recruiters. Our clients partner with us to help expand and diversify their teams. Please note that all applicants must be legally entitled to work in Canada, including holding any necessary work permits.

#J-18808-Ljbffr"
devops engineer,Trustedsavvy,Job Bank,Full-time,"Education: Bachelor's degree. or equivalent experience. Work setting: Willing to relocate. Consulting firm. Software company. Information technology (IT) service provider. Information technology (IT) infrastructure. Tasks: Collect and document user's requirements. Coordinate the development, installation, integration and operation of computer-based systems. Define system functionality. Develop flowcharts, layouts and documentation to identify solutions. Develop process and network models to optimize architecture. Develop software solutions by studying systems flow, data usage and work processes. Execute full lifecycle software development. Plan every step of the integration of a computer-based system. Prepare plan to maintain software. Research technical information to design, develop and test computer-based systems. Synthesize technical information for every phase of the cycle of a computer-based system. Upgrade and maintain software. Lead and co-ordinate teams of information systems professionals in the development of software and integrated information systems, process control software and other embedded software control systems. Usability testing. Develop and maintain computer databases. Setup the IT infrastructure to allow applications to access databases. Monitor the performance of computer systems and networks. Install software. Collect data to identify areas for improvement within an organization's IT infrastructure. Computer and technology knowledge: Agile. Business intelligence. Cloud. Development and operations (DevOps). Eclipse. Informatica. Jenkins. Jira. Shell script. Virtualization. Environment - Centralized. Environment - Client/Server. Environment - Distributed. Linux. Networking software. HTML. MS Windows. DHTML. Internet. XML Technology (XSL,XSD,DTD). Desktop applications. File management software. Security software. Unix. CSS. PHP. Project management software. Programming software. HTML editing software. Web service design. SQL. Database software. Programming languages. Software development. Data analysis software. MS Office. Oracle. Amazon Web Services (AWS). Angular.js. Git. React Native. React.js. Ruby. Ruby on Rails. Python. Ansible. Atlassian Confluence. GitHub. Microservices. MS Active Directory. Postman. Software quality assurance. Ubuntu. Unix Shell Scripting. Virtual Storage Access Method (VSAM). MAC. MS Excel. MS Outlook. MS SQL Server. Area of specialization: Scrum. System integration. Cybersecurity. Testing. Business methods analysis. Networks. Development of quality assurance programs. Security and safety: Criminal record check. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Tight deadlines. Repetitive tasks. Attention to detail. Personal suitability: Accurate. Client focus. Efficient interpersonal skills. Excellent oral communication. Excellent written communication. Initiative. Organized. Team player. Screening questions: Are you currently a student?. Are you currently legally able to work in Canada?. Experience: 1 year to less than 2 years. Workplace information: Hybrid. Financial benefits: Bonus. Other benefits: Free parking available. Learning/training paid by employer. Team building opportunities."
