job_title,employer_name,job_publisher,job_employment_type,job_description
Senior AWS Cloud DevOps Engineer,"Riva International, Inc.",BeBee Canada Meet Opportunities,Full-time,"Senior AWS Cloud DevOps Engineer

Riva is seeking an experienced Senior AWS Cloud DevOps Engineer to support enterprise SaaS deployments in AWS.

This position is ideal for those who thrive in a collaborative team environment, enjoy solving problems, and are self-starters who require minimal guidance.
Key Responsibilities
• Design, deploy, and manage AWS cloud infrastructure for enterprise SaaS applications.
• Implement and maintain CI/CD pipelines to automate deployment processes.
• Monitor and optimize cloud resources to ensure high availability, performance, and security within acceptable operational cost restraints.
• Troubleshoot and resolve issues related to cloud infrastructure and services to maintain company service levels.
• Support the integration and use of AWS containerization and AI services into our solutions.
• Collaborate with development teams to integrate cloud solutions with application architectures.
Requirements
• Bachelor's degree in Cloud Services, IT Management, Computer Science, Software Engineering, or equivalent education & experience.
• 5+ years of proven work experience as an AWS Cloud Engineer or a DevOps engineer with extensive AWS cloud expertise with a focus on enterprise SaaS projects.
• Strong skills resolving AWS cloud networking and security issues.
• Experience managing AWS services, including EC2, S3, RDS, Lambda, VPC, and CloudWatch.
• Proficiency in scripting languages such as Bash, PowerShell, or Python. Strong scripting and automation skills using scripting languages.
What We Offer
• Total compensation package including RRSP/IRA matching.
• Paid vacation starting with 3-weeks.
• Paid wellness time allowing for flexible discretionary allocation for mental health, personal benefits, and personal time.
• Extended health care benefits, dental and life insurance.
• Professional development and training allowance for career advancement."
"Engineer, Software Engineer",GPS Insight,Learn4Good,Full-time,"Position: Senior.NET Engineer
Who We Are Certified Tracking Systems, Inc ., - an Edmonton company backed by Scottsdale-based GPS Insight - is a leader in the GPS tracking and fleet management industry. Using our cloud-based user interface and custom hardware, we provide solutions for customers in various industries all over the world. Our success can be attributed to our dedicated employees, attention to detail and our commitment to customer loyalty.

To learn more about Certified Tracking Solutions and GPS Insight, visit gpsinsight. We know that when you invest in high-performance technology, you achieve results and maximize your return. We feel the same way about our people at GPS Insight. They are what allow us to build world-class solutions that make us leaders in the fleet and field service management space.

They are what enable our customers' success. They are our greatest asset. As a result, we take pride in a workplace committed to those who make us go.

Our commitment to growth enables us to push the telematics and field service operations industries forward. It's rooted in our products, embedded in our culture, and reflected in our team-first values. We're looking for the right people to jump onboard with us. Are you ready to take the ride? What We Need Certified Tracking Solutions (CTS) is seeking a Senior .NET

Engineer to join our engineering team in Edmonton, working on our Field Services product Service Bridge. As a self-starter with a curious mind, you will design, develop, and maintain robust web applications.

Your role includes writing efficient code, managing database migrations, optimizing cloud infrastructure, and collaborating with cross-functional teams. You will also investigate and resolve bugs, ensuring our applications are intuitive and engaging. If you thrive in a fast-paced, innovative environment and are driven to create outstanding user experiences, we want to hear from you. CTS is rapidly growing and increasing the depth, breadth, and flexibility of our platform to deliver actionable insights and exceptional value to our customers.

As a Senior Full Stack Engineer, you will have a significant impact on critical projects, including architectural improvements to achieve the next level of robustness and scalability, integrating with the rest of GPSI's software platform, and introducing new technologies to greatly increase our data management and analysis capabilities. What You'll Do Develop your technical leadership on a development team, owning the technical design and providing guidance on architectural decisions Perform peer reviews for other developers, ensuring integrity and effectiveness of new features.

Design and architect new features for scalability and performance. Provide estimates for project duration and complexity. Write efficient, reusable, and reliable code. Implement complex business logic and workflows to ensure robust and efficient application functionality. Manage MSSQL and Postgre

SQL databases and their migrations, ensuring the application is optimized for high performance and scale. Work with platform and Dev Ops teams in AWS to define and maintain our cloud resources efficiently. Work with both internal and external team members to collaborate on key objectives. Continuously optimize code for performance, responsiveness, and quality. Identify and fix bugs and issues in the application.

Participate in all agile ceremonies including grooming, planning, stand up, review and retrospective. Update and maintain software code documentation including flowcharts and architecture diagrams to ensure clarity and continuity. Create and maintain RESTful / Graph

QL APIs to enable communication between front-end and back-end systems. Monitor application health and suggest maintenance initiatives to improve reliability Work with the product team to perform gap analysis on designs and requirements. Requirements Minimum of 7 years proven experience as a .NET Developer or in a similar role. Strong proficiency in .NET Core, NodeJS, ASP, CORE MVC. Proficiency in MSSQL/Postgre

SQL database management. Familiarity with front-end technologies. Expert Git skills. Strong understanding of software…"
Cloud Services,BDO,BeBee Canada Meet Opportunities,Full-time,"Putting People First

BDO is a firm built on a foundation of positive relationships with our people and our clients. Each day, our professionals provide exceptional service, helping clients with advice and insight they can trust. In turn, we offer an award-winning environment that fosters personal and professional growth.

Your Opportunity

We are seeking skilled individuals to join our team in a high growth setting as an Operations Lead. You will be responsible for streamlining processes, improving efficiencies, and ensuring our clients receive world-class service.

Your growth and development are important to your future, and we strive toward aligning individuals to focus on strengths and to develop skills to overcome weaknesses.
• Leverage your ability to contribute to a fast-paced Cloud sales cycle, focusing on onboarding responsibilities such as creating reports, contracts, and initial client setup.
• Provide pre-sales pricing and subscription support to BDO employees and customers on Microsoft CSP and Cloud based Solutions, providing excellent customer service.
• Process and track orders, client invoicing and reconciliations while working closely with other billing team members to ensure accuracy.
• Provide training and support to internal and external customers on Office 365, Dynamics 365 and BDO Cloud offerings, including issues with configurations and implementations.
• Provide quality assurance checks for quotes, contracts, and other outbound work.
• Act as a contact person for new or existing clients and for the sales lifecycle, including preparing proposals, change orders.
• Focus on operations improvement by automating and streamlining existing processes to make them more efficient.
• Develop tools, processes and research information necessary to evolve cloud operations.
• Additional administrative support and participation in special projects as required.

How do we define success for your role?
• You demonstrate BDO's core values through all aspects of your work: Integrity, Respect and Collaboration.
• You understand your client's industry, challenges, and opportunities; clients describe you as positive, professional, and delivering high-quality work.
• You identify, recommend, and are focused on effective service delivery to your clients.
• You share in an inclusive and engaging work environment that develops, retains & attracts talent.
• You actively participate in the adoption of digital tools and strategies to drive an innovative workplace.
• You grow your expertise through learning and professional development.

Your experience and education
• You have completed your undergraduate degree in IT Management, Business Administration, or Business-related program with a focus on Technology.
• You have 5-7 years of combined work experience (this could be through co-op or internship work).
• You are passionate about cloud technology and have a willingness to learn new technologies.
• You have practical knowledge of professional, effective telephone techniques and customer care.
• You have excellent written and verbal communication skills.
• You have strong problem-solving skills and attention to detail.
• You enjoy improving and taking ownership of processes.
• You are able to prioritize with the flexibility to manage multiple tasks and variable workload.

The following are considered an asset:
• Experience in a previous business operations, customer service and/or sales capacity.
• Working toward a professional certification, such as PMP, Lean Six Sigma, or ITIL.
• Experience in process and operations improvement.
• Experience with Microsoft or Cloud platforms.
• Experience with Finance and Line of Business systems.
• Understanding of IT and software business landscape.
• Proficient in MS Office Applications, such as Microsoft Excel."
IT Cloud Administrator,Peace Hills Insurance,Trabajo.org,Full-time,"This role requires hand-on experience researching, recommending, implementing, and monitoring technical solutions to address business problems, focusing on effectiveness, efficiency, and automation to deliver to Peace Hills Insurance’s objectives. The administrator also works closely with other team members and stakeholders to design, implement, and optimize the cloud solutions that meet business needs and objectives. This role continues to evolve and implement the technology policies, standards, procedures, and operational best practices, in order to efficiently and effectively enable Peace Hills Insurance.
• *Duties and Responsibilities**:

- Provides the highest standard of IT support and operation services, attuned to the needs of business, and backed by a commitment to customer service.
- Configure and automate the cloud operations and processes, using tools and scripts to improve efficiency and reliability.
- Manage and maintain AWS environments and services (VPC, EC2, S3, VPN, Control Tower, Amazon Connect, Backup and Disaster Recovery, Security Services)
- Maintain, manage, and design a hybrid architecture using key AWS technologies as well as a continuous integration and deployment process.
- Provide guidance of cloud services and optimize cloud resources and costs.
- Analyzes problem trends and gathers requirements from the business to assist in the continual improvement of the IT services
- Collaborate with technical team members to deploy and support cloud-based solutions.
- Implement and enforce the cloud policies and standards, such as access control, encryption, backup, disaster recovery, and compliance.
- Participate in meetings with the IT department to discuss progress and issues to be resolved, and report progress as necessary to management including supporting the generation of the weekly IT dashboard
- Research, design, and/or implementation of appropriate technologies to support and/or improve corporate communications, access to information, and end-user productivity.
- Develop and maintain successful and professional internal working relationships with all software development department and end-users
- Participate in the on call rotation
- Other duties as required
• *Prior experience and qualifications of interest include**:

- Completion of a post-secondary program in a relevant field
- Minimum 5+ years’ experience in IT Cloud and Networking experience is required.
- Completion of a minimum of 2 AWS certifications
- Working knowledge of ITIL processes; ITIL certification is preferred.
- Demonstrated knowledge of security fundamentals and best practices
- Subject Matter Expertise in the following: AWS CLI, AWS APIs, VPC, EC2, S3, AWS Infrastructure-as-Code, AWS Billing Console, AWS Management Console, a scripting language, and Windows and Linux environments.
- Familiar with AWS DevOps, AWS CloudFormation, Windows (10, Server), Virtual Machines, Azure Active Directory, Microsoft 365 (Exchange Online, SharePoint, Teams, Auto Pilot, and Intune)
- Experience working with IT ticketing systems such as Remedy, Manage Engine, JIRA Service Desk, or Service Now.
- Strong written and verbal communication skills
- Innovative, forward thinker able to manage multiple priorities
- Strong customer service skills and the ability to build and maintain relationships across the organization
- Commitment to continuous improvement
• *Working at Peace Hills**

Peace Hills understands that by reducing work-life struggles, individuals can enjoy a healthier lifestyle while improving productivity at work. Providing a collegial work environment and a work life balance are just two of the ways we do this.

Flexible Language Requirement:

- French not required

Schedule:

- Monday to Friday

Work Location: In person"
Azure Platform Engineer,Alberta Investment Management Co,BeBee Canada Meet Opportunities,Full-time,"DESCRIPTIONS2：

Job Overview
"">

We are seeking a highly skilled Cloud Engineer to join our team and contribute to the design, implementation, and maintenance of our Azure infrastructure. As a key member of our team, you will leverage your expertise in Terraform for infrastructure provisioning, maintain CI/CD pipelines in Azure DevOps, manage cloud costs, and ensure optimal performance and security across our cloud platforms.
"">

Key Accountabilities
"">

- Design and implement Azure infrastructure using Terraform, integrating SaaS applications with our data platform built on Databricks and Snowflake.
"">

- Support and manage infrastructure for Azure Integration Services and containerization technologies, such as Azure Container Apps and Azure Kubernetes Service (AKS).
"">

- Develop and maintain Azure networking components, ensuring compliance with organizational policies and standards.
"">

- Collaborate with cross-functional teams to establish and manage pipelines for continuous integration and deployment of Azure infrastructure changes with Azure DevOps.
"">

- Monitor and optimize the Azure environment, applying FinOps best practices to maximize business value of the cloud.
"">

- Ensure compliance with organizational security policies and standards, implementing necessary controls and measures.
"">

Requirements
"">

To be successful in this role, you will require:
"">

- A Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced certifications in Azure (e.g., Microsoft Certified Azure Solutions Architect) are preferred.
"">

- 3-5 years of experience as a Cloud Engineer or similar role, with a focus on Azure cloud services and infrastructure.
"">

- Proven experience with Terraform for Infrastructure as Code (IaC), Azure networking, security implementations, and Azure DevOps CI/CD pipeline management.
"">

- Experience with Databricks and Snowflake.
"">

- Familiarity with FinOps principles for cloud cost management.
"">

- Excellent problem-solving and communication skills, with the ability to collaborate effectively across teams.
"">

- Strong understanding of backup and disaster recovery best practices in cloud environments.
"">

About Us
"">

AIMCo is committed to providing a positive and supportive work environment that allows our employees to grow and develop their careers. We believe in recognizing and rewarding outstanding performance and contributions to our organization."
Edge Computing Engineer,Tbwa ChiatDay Inc,Trabajo.org,Full-time,"Key Responsibilities
• Engineer cloud-native architectures using container orchestration, infrastructure-as-code, and automation tools to ensure compatibility and performance in Linux-based edge computing setups.
• Integrate existing Shift5 software components to build cohesive solutions that operate reliably on edge computing devices and scalable infrastructure.
• Drive innovation within existing products, continuously exploring ways to improve functionality, efficiency, and scalability."
15h Left: Cloud DevOps Engineer,Aplin,Ca.bebee.com,Full-time,"Job Title: Cloud DevOps Engineer

A forward-thinking company is seeking a skilled DevOps and Infrastructure Engineer with deep expertise in Azure, Google Cloud Platform (GCP), Kubernetes, Helm, and Terraform to manage and optimize the multi-cloud infrastructure.
Key Responsibilities:
• Design, implement, and manage scalable, reliable, and secure cloud infrastructure across Microsoft Azure and Google Cloud Platform (GCP).
• Deploy, manage, and scale containerized applications using Kubernetes on both Azure Kubernetes Service (AKS) and Google Kubernetes Engine (GKE).
• Develop and maintain CI/CD pipelines using tools such as GitLab, Google Cloud Build, and Jenkins.
• Utilize Terraform to automate the provisioning and management of cloud infrastructure across Azure and GCP.
• Implement and maintain robust monitoring, logging, and alerting systems using tools like Azure Monitor, Google Cloud Operations Suite, Prometheus, and Grafana.
Requirements:
• Minimum 5 years of experience in DevOps, Infrastructure Engineering, or a related field.
• Proven experience in deploying and managing Kubernetes clusters on Azure AKS and GCP GKE.
• Proficient in core Azure and GCP services, including Azure VMs, Azure Kubernetes Service, Compute Engine, Google Kubernetes Engine, and associated networking and storage solutions.
• Extensive experience with Terraform for automating cloud infrastructure deployments and management."
"Senior (5+ Years) Azure Cloud Data Engineer to design, develop, document, and maintain data-related applications and systems for our utilities client (Hybr",S.i. Systèmes,Trabajo.org,Full-time,"Our client is seeking a Senior (5+ Years) Data Engineer specialized in Azure Cloud and Python to design, develop, document, and maintain data-related applications and systems for our utilities client (Hybrid Edmonton, AB).

Responsibilities

- Designing, developing, documenting and maintaining applications
- Actively taking part in our Agile delivery
- Contributing during sprint planning meetings
- Participating in daily stand-ups
- Accepting and acting on feedback from end users
- Providing constructive feedback through sprint retrospectives
- Completing development tasks assigned
- Assisting project architects on their technical decisions
- Understanding source data(base) relationships
- Participating in data modelling through DA & into PBI

Must Have

- 5+ years as a Data Engineer
- Azure Data Factory (ADF)
- Azure Databricks
- Python (PySpark)
- Complex SQL
- Data modelling
- Completion of a 4-year Computer Science or Engineering degree, or a 2-year Computer Engineering / System Technology diploma.

Nice to Have

- Development experience using modern web technologies, such as .NET (Framework, Core, and .NET 4.8+)
- Power BI
- Snowflake
- Azure Function Experience in LakeFS Azure DevOps
- Azure Kubernetes Service
- Azure Portal, Azure CLI (Azure resource management and configuration)
- Other Azure services
- .NET
- DAX

Apply"
Senior Cloud Solutions Architect,Alberta Investment Management Co,BeBee Canada Meet Opportunities,Full-time,"DESCRIPTIONS3：

Job Summary
"">

We are seeking a highly skilled Cloud Engineer to join our team and contribute to the design, implementation, and maintenance of our Azure infrastructure. As a key member of our team, you will leverage your expertise in Terraform for infrastructure provisioning, maintain CI/CD pipelines in Azure DevOps, manage cloud costs, and ensure optimal performance and security across our cloud platforms.
"">

Key Performance Indicators
"">

- Design and implement Azure infrastructure using Terraform, integrating SaaS applications with our data platform built on Databricks and Snowflake.
"">

- Support and manage infrastructure for Azure Integration Services and containerization technologies, such as Azure Container Apps and Azure Kubernetes Service (AKS).
"">

- Develop and maintain Azure networking components, ensuring compliance with organizational policies and standards.
"">

- Collaborate with cross-functional teams to establish and manage pipelines for continuous integration and deployment of Azure infrastructure changes with Azure DevOps.
"">

- Monitor and optimize the Azure environment, applying FinOps best practices to maximize business value of the cloud.
"">

- Ensure compliance with organizational security policies and standards, implementing necessary controls and measures.
"">

Requirements
"">

To be successful in this role, you will require:
"">

- A Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced certifications in Azure (e.g., Microsoft Certified Azure Solutions Architect) are preferred.
"">

- 3-5 years of experience as a Cloud Engineer or similar role, with a focus on Azure cloud services and infrastructure.
"">

- Proven experience with Terraform for Infrastructure as Code (IaC), Azure networking, security implementations, and Azure DevOps CI/CD pipeline management.
"">

- Experience with Databricks and Snowflake.
"">

- Familiarity with FinOps principles for cloud cost management.
"">

- Excellent problem-solving and communication skills, with the ability to collaborate effectively across teams.
"">

- Strong understanding of backup and disaster recovery best practices in cloud environments.
"">

About Us
"">

AIMCo is committed to creating a workplace culture that values diversity, equity, and inclusion. We strive to provide equal opportunities to all employees and job applicants, regardless of their background, race, color, national origin, sex, age, disability, sexual orientation, gender identity, or any other characteristic protected by law."
Cloud Infrastructure Architect,Alberta Investment Management Co,Ca.bebee.com,Full-time,"Job Description

We are seeking a seasoned Cloud Engineer with expertise in implementing and maintaining robust Azure infrastructure. The successful candidate will leverage their knowledge of Terraform for infrastructure provisioning, manage CI/CD pipelines in Azure DevOps, and ensure optimal performance and security across our cloud platforms.
Responsibilities:
• Provision and manage Azure infrastructure using Terraform, integrating SaaS applications with our data platform built on Databricks and Snowflake.
• Support and manage infrastructure for Azure Integration Services and containerization technologies, such as Azure Container Apps and Azure Kubernetes Service (AKS).
• Design, implement, and maintain Azure networking components, while implementing security measures to ensure compliance with organizational policies.
• Establish and manage pipelines for continuous integration and deployment of Azure infrastructure changes with Azure DevOps, collaborating closely with cross-functional teams.
• Monitor and optimize the Azure environment and apply FinOps best practices to maximize business value of the cloud."
Data Storage Solutions Engineer,Raas Infotek,Trabajo.org,Full-time,"Data Storage Solutions Engineer

We are seeking an experienced Data Storage Solutions Engineer to join our team at Raas Infotek Corporation. As a key member of our infrastructure group, you will be responsible for the design, implementation, and maintenance of our data storage systems using Dell and AWS technologies.

About Us:
Raas Infotek Corporation is a leading provider of IT solutions and services. We specialize in delivering customized solutions that meet the unique needs of our clients. Our team of experts has extensive experience in designing and implementing complex storage systems using Dell and AWS technologies.

Responsibilities:
- Design and implement data storage systems using Dell and AWS technologies
- Provision and manage storage volumes and file shares
- Configure and troubleshoot SAN switches and storage arrays
- Work on Azure Cloud storage accounts and file shares
- Troubleshoot file share related issues
- Maintain accurate documentation of all storage system configurations and changes

Requirements:
- 5+ years of experience in data storage administration using Dell and AWS technologies
- Strong knowledge of SAN switches and storage arrays
- Experience working with Azure Cloud storage accounts and file shares
- Excellent problem-solving skills and ability to work under pressure
- Strong communication and teamwork skills
- Bachelor's degree in Computer Science or related field

What We Offer:
- Competitive salary and benefits package
- Opportunity to work with a leading provider of IT solutions and services
- Collaborative and dynamic work environment
- Professional development opportunities"
Senior Cloud Infrastructure Architect,Vantix Systems Inc.,BeBee Canada Meet Opportunities,Full-time,"Job Overview
Vantix Systems Inc. is seeking an experienced Senior Cloud Infrastructure Architect to lead the design and implementation of scalable, secure, and efficient cloud-based infrastructure solutions."
Cloud Architect Position,Vantix Systems Inc.,BeBee Canada Meet Opportunities,Full-time,"Vantix Systems Inc. invites applications for a cloud architect position.

We are looking for an experienced professional with a strong background in software development and cloud architecture.

The successful candidate will be responsible for leading the design and implementation of cloud-based systems, ensuring scalability, security, and reliability.

Requirements:
• A bachelor's degree in computer science or a related field.
• At least 5 years of experience in software development and cloud architecture.
• Proven track record of designing and implementing scalable, secure, and reliable cloud-based systems.
• Strong knowledge of cloud platforms, including Amazon AWS.
• Experience with DevOps practices and tools.

What We Offer:
• A competitive salary package.
• Ongoing training and professional development opportunities.
• A collaborative and dynamic work environment."
IT Infrastructure Engineer,Carrington Group,BeBee Canada Meet Opportunities,Full-time,"Carrington Holdings Ltd. is a leading developer of real estate in Western Canada, celebrating 50 years in the industry. As an IT Infrastructure Engineer, you will play a critical role in designing, implementing, and maintaining our computer systems and networks.

About the Position:
• You will work under the Director of IT Services and Strategy to develop and maintain our IT infrastructure, ensuring it meets the changing needs of the business.
• You will design and implement network architectures, ensuring high availability and scalability.
• You will configure and maintain servers, desktops, laptops, mobile devices, and other computing equipment.
• You will analyze system performance and make recommendations for improvement, working closely with internal stakeholders to implement changes.

Required Skills and Qualifications:
• A post-secondary diploma in Computer Science or a related academic field of study is preferred.
• Intermediate knowledge of data processing, hardware platforms, and enterprise software applications is preferred.
• Three years of experience in a similar role are required.
• Detailed knowledge of server operating systems, infrastructure monitoring and maintenance systems, cloud-based services, SaaS applications, networking, and SAN/Storage concepts are required.
• Intermediate knowledge of Windows, Windows Servers, Office Suites, and database services, including Microsoft SQL, are preferred.

Benefits:
• Comprehensive benefits, including extended health & dental, life, and disability insurance.
• A Flexible Spending Account for additional health and wellness coverage.
• A Company-matched RRSP program.
• Paid training and development programs.

Others:
• This is a full-time position that requires strong technical skills and attention to detail.
• You will be part of a team-oriented environment that fosters collaboration and open communication.
• The Carrington Group is an equal opportunity employer and welcomes all qualified applicants."
Cloud BI Platform Technical Lead,Intello Technologies Inc.,BeBee Canada Meet Opportunities,Full-time,"Job Description
"">

We're seeking an experienced Senior Architect - Data Analytics Specialist to join our Cloud BI Platform team. As a key member of our team, you will be responsible for designing, implementing, and maintaining scalable, secure, and high-performance cloud-based BI platforms."
